frame_idx,pose_detected,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,mid_hip_x,mid_hip_y,mid_hip_z,torso_length
0,1,0.208413217760136,0.0256350710569895,0.0,-0.208413217760136,-0.0256350710569895,0.0,0.0775811752254064,0.4931062162453415,0.0,-0.2845904499744027,0.4238737734286386,0.0,-0.0213316150000867,0.847921936060641,0.0,-0.2981260732941381,0.6297127469845033,0.0,-0.081277815007977,0.8893776325245492,0.0,-0.260208442290425,0.634680747177283,0.0,0.021756489224305,1.0430860777056743,0.0,-0.3442412024746827,0.8257167084531375,0.0,0.5626385658979416,0.5263536274433136,-0.0004170574247837,0.4202319257026355
1,1,0.2274820994833608,0.0295626857712872,0.0,-0.2274820994833608,-0.0295626857712872,0.0,0.083486794835077,0.5326877874498706,0.0,-0.3080744770719516,0.4557933630909985,0.0,-0.0257325288383761,0.9221230175342858,0.0,-0.3310976113406496,0.6676590173366359,0.0,-0.0909855263969975,0.9698116748666592,0.0,-0.2977575876100671,0.669999929244225,0.0,0.0344535977127907,1.1356665336725655,0.0,-0.383826417655364,0.8854544608509899,0.0,0.5635079741477966,0.530019223690033,-0.0004116976633667,0.3814229727486585
2,1,0.2457191191989734,0.0318828639270411,0.0,-0.2457191191989734,-0.0318828639270411,0.0,0.0902178981526303,0.5644888460768441,0.0,-0.3321958484867131,0.4822997750562397,0.0,-0.0279295767124868,0.9855131542699224,0.0,-0.359473930888275,0.6947855153882169,0.0,-0.0985903738793696,1.0369802349081252,0.0,-0.3253533237988988,0.7034016531078698,0.0,0.0441398887152628,1.2240934156512433,0.0,-0.420586534716367,0.93129199307907,0.0,0.5636351555585861,0.5303606986999512,-0.0004105069674551,0.3533538749662406
3,1,0.2353372206618234,0.0309559479592013,0.0,-0.2353372206618234,-0.0309559479592013,0.0,0.086042249997276,0.5321221449036054,0.0,-0.3190896250676691,0.439599774717218,0.0,-0.0282222224904406,0.9376619686397668,0.0,-0.3466258771332803,0.6370666775640463,0.0,-0.1001029240258061,0.9887009521062872,0.0,-0.3149613398931486,0.6507576000593911,0.0,0.0466665036648633,1.17232964688316,0.0,-0.4075114677455204,0.8616713521636373,0.0,0.563895657658577,0.5308312475681305,-0.0004106215201318,0.3682657102631248
4,1,0.231042545076454,0.0306725676422304,0.0,-0.231042545076454,-0.0306725676422304,0.0,0.0838133601785005,0.5213791696189063,0.0,-0.3148742644785248,0.4154595917963724,0.0,-0.0295195207875072,0.9206171727352372,0.0,-0.344264952102801,0.6045823743433533,0.0,-0.1008828184242884,0.9690041211102304,0.0,-0.3143494535279655,0.6155781553945906,0.0,0.0489720938672203,1.1534060742385368,0.0,-0.4051659614409394,0.8293046870124086,0.0,0.5644884556531906,0.5308809280395508,-0.0004106087144464,0.3741680732905407
5,1,0.2297989116662412,0.0316891181739441,0.0,-0.2297989116662412,-0.0316891181739441,0.0,0.0833534136184344,0.5203845026039787,0.0,-0.3128580982532288,0.3860415404774246,0.0,-0.0349327406195038,0.9170015909809835,0.0,-0.3418388868843787,0.5715707434461842,0.0,-0.1091297282681844,0.9644156457356396,0.0,-0.3124860097162182,0.5867280470885202,0.0,0.0490414670974345,1.1484275191511342,0.0,-0.402788651769969,0.8042688977418158,0.0,0.5645367950201035,0.5302391052246094,-0.0004070904105901,0.3764451233770996
6,1,0.2252279492995567,0.031252831681674,0.0,-0.2252279492995567,-0.031252831681674,0.0,0.0817776893417884,0.5103809183674979,0.0,-0.3071361258524391,0.3639429940462926,0.0,-0.0360852817874437,0.8992404123914811,0.0,-0.3346037807898179,0.5416680499880976,0.0,-0.1087486935797906,0.9456946355576664,0.0,-0.3058910070287677,0.5584284590586205,0.0,0.0488263122682465,1.1258644545671526,0.0,-0.3944307120450755,0.7728321003694448,0.0,0.5645225197076797,0.5301334857940674,-0.0004032731521874,0.3840422726086616
7,1,0.2251056006031169,0.0316758275033047,0.0,-0.2251056006031169,-0.0316758275033047,0.0,0.0816387610596155,0.5055754407614581,0.0,-0.3072788465143364,0.3550154319685222,0.0,-0.0364530766825929,0.9002721851812494,0.0,-0.3344818144266503,0.5348377884233864,0.0,-0.1089641827706355,0.9468496085523064,0.0,-0.3058188622113336,0.5539694301748787,0.0,0.0505348757763599,1.1257473961736213,0.0,-0.3946077153121823,0.7665976168568899,0.0,0.5645965933799744,0.529514878988266,-0.0004039513878524,0.3842907900562908
8,1,0.2255261435429081,0.0319144555026777,0.0,-0.2255261435429081,-0.0319144555026777,0.0,0.0824092436240884,0.5071471527515746,0.0,-0.3081701465448832,0.3536776867076091,0.0,-0.0392320875092337,0.9027063320341948,0.0,-0.3335589673001435,0.5260758367423926,0.0,-0.1153297108510343,0.9492004209974224,0.0,-0.3028033521486752,0.5462327438825177,0.0,0.053175388252626,1.1281682595831186,0.0,-0.3946404593541671,0.7580126633532266,0.0,0.5646028965711594,0.5293932259082794,-0.000409766100347,0.3835745259893348
9,1,0.2205390881576608,0.0324828074799096,0.0,-0.2205390881576608,-0.0324828074799096,0.0,0.0802116830419999,0.5000307685729012,0.0,-0.3016328391556405,0.3291945200220814,0.0,-0.0400253808236809,0.8876200098921981,0.0,-0.3258927076596117,0.5177427538826854,0.0,-0.1150446719281691,0.9333315584476036,0.0,-0.2948125515053107,0.5407896745267421,0.0,0.0532174418455617,1.1074873898216506,0.0,-0.3864881562315871,0.7486870543510271,0.0,0.5647870600223541,0.5273707211017609,-0.0004060727078467,0.3924345875920804
10,1,0.2224516395992861,0.0327918307560842,0.0,-0.2224516395992861,-0.0327918307560842,0.0,0.0820267383400584,0.5045119831311636,0.0,-0.303716483185838,0.3363737583443453,0.0,-0.0407014413501554,0.8946910605705828,0.0,-0.3283161557331382,0.5268188895443873,0.0,-0.1162677118278287,0.9395806453813672,0.0,-0.2969757645325961,0.5482641807683466,0.0,0.0530746611460118,1.1170110538825098,0.0,-0.3896267295823952,0.7583514433436229,0.0,0.5647118240594864,0.5270902216434479,-0.0004073478630743,0.3892634906280057
